surname,district,past_local,present_local,past_national,present_national,raw_total
ไชยณรุณ,พะเยา,0,0,1,1,5
สุขุม,กรุงเทพมหานคร,0,0,1,0,5
แก้วนาโพธิ์,ชุมพร,0,0,1,0,5
ไชยศิวามงคล,กาฬสินธุ์,0,0,1,1,5
แสนแก้ว,อุดรธานี,0,0,1,0,5
บุนนาค,กรุงเทพมหานคร,0,0,1,0,5
จุลพงศธร,นครสวรรค์,0,0,1,0,5
นิติกาญจนา,ราชบุรี,0,1,1,1,5
โต๊ะมีนา,ปัตตานี,0,0,1,1,5
เจริญประเสริฐ,ศรีสะเกษ,0,0,1,0,5
จันทรภักดี,เพชรบูรณ์,0,0,1,0,5
ทวีเกื้อกูลกิจ,ตาก,1,1,1,1,5
ธนาคมานุสรณ์,สิงห์บุรี,0,0,1,1,5
โตะตาหยง,นราธิวาส,0,0,1,0,5
ทองผา,มุกดาหาร,1,0,0,0,5
บุญ-หลง,สระบุรี,0,1,1,0,5
โตวิจักษณ์ชัยกุล,เชียงใหม่,0,0,1,0,5
ธนสงวนวงศ์,ชลบุรี,0,0,1,0,5
เชิดชัย,นครราชสีมา,0,0,1,1,5
บุญสุภา,สระบุรี,0,0,1,0,5
ทองประเสริฐ,อุบลราชธานี,1,0,1,0,5
เทียมประเสริฐ,อุบลราชธานี,0,0,1,0,5
เจาะจิตต์,นครศรีธรรมราช,0,0,1,0,5
นิธิวุฒิวรรักษ์,ชลบุรี,0,0,1,1,5
บุญเสรฐ,พิจิตร,0,0,1,0,5
เพชรสว่าง,บุรีรัมย์,0,0,1,0,5
โพธิวิหค,กรุงเทพมหานคร,0,0,1,0,5
บุญเรือง,กาฬสินธุ์,0,0,1,1,5
ชาลีเครือ,ชัยภูมิ,1,0,1,0,4
การุญ,สกลนคร,0,0,1,0,4
สามิตร,หนองบัวลำภู,0,0,1,0,4
ตยางคนนท์,สกลนคร,0,0,1,0,4
สีลาวงษ์,อุดรธานี,0,0,1,0,4
สาและ,ปัตตานี,0,0,1,1,4
กำลังเอก,เลย,0,0,1,0,4
เชื้อเมืองพาน,เชียงราย,0,0,1,1,4
ด่านกุล,นครราชสีมา,0,0,1,0,4
ชำนาญยา,พะเยา,0,0,1,0,4
โสภา,สงขลา,0,0,1,0,4
จันทร์สุวรรณ,สุพรรณบุรี,1,1,0,0,4
แก้วมีชัย,เชียงราย,0,0,1,0,4
วรรณศิริกุล,กรุงเทพมหานคร,0,0,1,0,4
บรรดาศักดิ์,นนทบุรี,0,0,1,0,4
พิมพ์ใจชน,ชลบุรี,0,0,1,0,4
เทพอักษรณรงค์,บุรีรัมย์,0,0,1,1,4
ยิ่งสมาน,ยะลา,0,0,1,0,4
แก้วศิริ,ชัยภูมิ,1,0,1,0,4
นพเกตุ,กรุงเทพมหานคร,0,0,1,0,4
แก้วหลวง,เชียงราย,0,0,1,0,4
ตันบรรจง,พะเยา,0,0,1,0,4
ภัคเกษม,เชียงใหม่,0,0,1,0,4
พาลุสุข,ยโสธร,0,0,1,0,4
วงษ์สุนทร,นครสวรรค์,0,0,1,0,4
วงษ์ไกร,ยโสธร,0,0,1,0,4
คันฉ่อง,ตรัง,0,0,1,0,4
โสภณ,ระยอง,1,0,0,1,4
อดิเทพวรพันธุ์,นครศรีธรรมราช,0,0,1,0,4
ไกรสิทธิพงศ์,พิษณุโลก,1,0,1,0,4
ชำนาญศิลป์,อุดรธานี,0,0,1,0,4
นาคพงศ์,กรุงเทพมหานคร,0,0,1,0,4
เพชรพนมพร,อุดรธานี,0,0,1,1,4
สุนทรวัฒน์,กรุงเทพมหานคร,0,0,1,0,4
โอสถานุเคราะห์,กาฬสินธุ์,0,0,1,1,4
รัศมิทัต,สมุทรปราการ,1,0,1,0,4
โพธิสาโร,ศรีสะเกษ,0,0,1,0,4
เฮงสวัสดิ์,บุรีรัมย์,0,0,1,0,4
ชุณหะวัณ,นครราชสีมา,0,0,1,0,4
รัตนเพียร,นครราชสีมา,0,0,1,0,4
สุนทรเลขา,นครสวรรค์,0,0,1,1,4
ใจแคล้ว,ปทุมธานี,1,0,1,0,4
กุลเจริญ,สมุทรปราการ,0,0,1,1,4
นิมมานเหมินท์,กรุงเทพมหานคร,0,0,1,0,4
ใสกระจ่าง,ศรีสะเกษ,0,0,1,0,4
รัชกิจประการ,สตูล,0,0,1,1,4
ช่างพินิจ,พิษณุโลก,0,0,1,1,4
นิกรเทศ,หนองคาย,0,0,1,0,4
ทองสวัสดิ์,ลำปาง,0,0,1,0,4
มาฉิม,พิษณุโลก,0,0,1,0,4
เตชะตานนท์,ขอนแก่น,0,0,1,0,4
สุนทรชัย,หนองคาย,0,0,1,0,4
ดำรงรัตน์,กรุงเทพมหานคร,0,0,1,0,4
นาครทรรพ,กรุงเทพมหานคร,0,0,1,1,4
ภูมิเหล่าแจ้ง,กาฬสินธุ์,0,0,1,0,4
สัจจกุล,กรุงเทพมหานคร,0,0,1,0,4
หวังศุภกิจโกศล,นครราชสีมา,0,1,1,1,4
